text,labels
I asked to speak to a manager ,1
Hi there. Hope all is well. Could you please connect me with a manager?,1
Hi there. Hope all is well. Could you please connect me with a supervisor?,1
That’s not what that says at all. Can I speak to your manager?,1
That’s not what that says at all. Can I speak to your Supervisor?,1
"You're not the highest manager, so I want somebody that's above you. ",1
I want somebody that's above you. ,1
"If u start twisting my words, well need ur superior",1
"If u start twisting my words, well need ur manager",1
"If u start twisting my words, well need ur superior",1
I need ur superior,1
"I'm not still having a problem but would like to ""speak with""/chat w/ a superior. Thank you.",1
"I would like to ""speak with""/chat w/ a superior.",1
Can you give me a delivery status on the supermarket children’s item I order in January?,2
I have to call like 6 times already even I spoke supervisor ,2
I have to call like 6 times already even I spoke manager ,2
Thanks for getting me to a supervisor,2
Thanks for getting me to a manager,2
I was on hold for a supervisor and it hung up on me.,2
I was on hold for a manager and it hung up on me.,2
"So, I ask a supervisor about the bar code",2
"So, I ask a manager about the bar code",2
Thanks for getting me to a supervisor,2
Thanks for getting me to a manager,2
Are you a supervisor and if so why not identify your title. ,2
Are you a manager  and if so why not identify your title. ,2
Wondering why I need a supervisor now smh .,2
Wondering why I need a manager now smh .,2
Tell the manager I will ask for him or her later today,1
Tell the supervisor I will ask for him or her later today,1
"	I will call manager at store thanks for nothing ",2
"	I will call manager at store and thank him",2
"	I will meet manager at store",2
"	I will call supervisor at store thanks for nothing ",2
"	I will call supervisor at store and thank him",2
"	I will meet supervisor at store",2
I've spoken to a manager,2
I've spoken to a supervisor,2
So I can cc the club manager at Marion's as well?&nbsp;,2
So I can cc the club supervisor at Marion's as well?&nbsp;,2
"	what’s your job as a supervisor?",2
"	what’s your job as a manager?",2
Can you please leave a note for a supervisor to email me ASAP?,1
Can you please leave a note for a manager to email me ASAP?,1
"Get your supervisor or whoever can, I don't want charged for this crap as I won't be getting it",1
Get your manager or whoever can,1
I was on hold for a supervisor and it hung up on me.,1
can you ask a supervisor to grant $100?,2
hat isn't usually the case. Can you please confirm with your supervisor?,2
hat isn't usually the case. Can you please confirm with your manager?,2
i dont want to speak with A SUPERVISOR,2
Please dont connect with a supervisor,2
No Supervisor,2
Please do not escalate to supervisor,2
no need for manager,2
 I do not prefer to talk with manager,2
 i could not talk to a manager now,2
please do not connect me with a manager,2
How long is the wait to speak to a supervisor?,1
I would like to speak to a agent,2
I would like to speak to other agent,2
How long is the wait to speak to a manager,1
